Zac Curtis,23,ARI,NL,20,0,0,0,0,0,0,0,0,0
Cheslor Cuthber,23,KCR,AL,128,510,475,49,130,28,1,12,46,2
Chase d'Arnau,29,ATL,NL,84,262,233,24,57,14,2,1,21,9
Travis d'Arnau,27,NYM,NL,75,276,251,27,62,7,0,4,15,0
David Dahl,22,COL,NL,63,237,222,42,70,12,4,7,24,5
Yu Darvis,29,TEX,AL,2,3,3,1,1,0,0,1,1,0
Matt Davidso,25,CHW,AL,1,2,2,1,1,0,0,0,1,0
Zach Davie,23,MIL,NL,28,61,53,2,5,0,0,0,1,0
Chris Davis,30,BAL,AL,157,665,566,99,125,21,0,38,84,1
Ike Davis,29,NYY,AL,8,15,14,2,3,0,0,0,1,0
Khris Davi,28,OAK,AL,150,610,555,85,137,24,2,42,102,1
Rajai Davi,35,CLE,AL,134,495,454,74,113,23,2,12,48,43
Wade Davi,30,KCR,AL,2,0,0,0,0,0,0,0,0,0
Grant Dayton,28,LAD,NL,23,1,1,0,0,0,0,0,0,0
Alejandro De Aza,32,NYM,NL,130,267,234,31,48,9,0,6,25,4
Ivan De Jesu,29,CIN,NL,104,243,221,21,56,10,0,1,20,3
Joel De La Cru,27,ATL,NL,21,18,16,0,3,0,0,0,1,0
Jorge De La Rosa,35,COL,NL,24,42,38,4,7,0,0,0,6,0
Rubby De La Ros,27,ARI,NL,13,17,14,0,1,0,0,0,1,0
Jose De Leo,23,LAD,NL,3,4,4,0,0,0,0,0,0,0
Abel De Los Santo,23,CIN,NL,5,0,0,0,0,0,0,0,0,0
Pat Dean,27,MIN,AL,1,0,0,0,0,0,0,0,0,0
Jaff Decker,26,TBR,AL,19,57,52,1,8,1,0,0,1,1
Jacob deGrom,28,NYM,NL,26,50,42,6,6,1,0,0,2,0
Steve Delaba,32,CIN,NL,6,0,0,0,0,0,0,0,0,0
Randall Delgad,26,ARI,NL,75,2,2,0,0,0,0,0,0,0
Matt den Dekker,28,WSN,NL,19,39,34,3,6,1,0,1,4,1
Daniel Descalso,29,COL,NL,99,289,250,38,66,12,2,8,38,3
Anthony DeSclafan,26,CIN,NL,19,43,41,0,5,1,0,0,1,0
Delino DeShield,23,TEX,AL,74,203,182,36,38,7,0,4,13,8
Ian Desmon,30,TEX,AL,156,677,625,107,178,29,3,22,86,21
Odrisamer Despaign,29,TOT,MLB,6,0,0,0,0,0,0,0,0,0
Odrisamer Despaign,29,BAL,AL,3,0,0,0,0,0,0,0,0,0
Odrisamer Despaign,29,MIA,NL,3,0,0,0,0,0,0,0,0,0
Ross Detwile,30,TOT,AL,1,2,1,0,0,0,0,0,0,0
Ross Detwile,30,OAK,AL,1,2,1,0,0,0,0,0,0,0
Chris Devensk,25,HOU,AL,6,0,0,0,0,0,0,0,0,0
